Years,Births,Carrying Capacity,Deaths,Effect of Population Size on Births,Initial Carrying Capacity,Initial Max Crude Birth Rate,Initial Mortality Rate,Initial Population,Max Crude Birth Rate,Mortality Rate,Population,Population Fraction,IP1 Crude Birth Rate.ES,IP1 Crude Birth Rate.Intervention Point,IP1 Crude Birth Rate.SW,IP1 Crude Birth Rate.T1,IP2 Mortality Rate.ES,IP2 Mortality Rate.Intervention Point,IP2 Mortality Rate.SW,IP2 Mortality Rate.T1,IP3 Carrying Capacity.ES,IP3 Carrying Capacity.Intervention Point,IP3 Carrying Capacity.SW,IP3 Carrying Capacity.T1,IP4 Effect of Population Size on Births.ES,IP4 Effect of Population Size on Births.Intervention Point,IP4 Effect of Population Size on Births.SW,IP4 Effect of Population Size on Births.T1
94.7490234375,4.50545555315,120,4.49726973865,0.250455010251,80,0.2,0.05,120,0.2,0.05,89.9453987698,0.749544989749,0.5,1,0,50,0.5,1,0,50,0.5,1.5,1,50,0.5,1,0,50
94.75,4.50545475527,120,4.49727013832,0.250454943645,80,0.2,0.05,120,0.2,0.05,89.9454067626,0.749545056355,0.5,1,0,50,0.5,1,0,50,0.5,1.5,1,50,0.5,1,0,50
94.7509765625,4.5054539575,120,4.49727053793,0.250454877048,80,0.2,0.05,120,0.2,0.05,89.9454147542,0.749545122952,0.5,1,0,50,0.5,1,0,50,0.5,1.5,1,50,0.5,1,0,50
94.751953125,4.50545315985,120,4.49727093748,0.250454810461,80,0.2,0.05,120,0.2,0.05,89.9454227447,0.749545189539,0.5,1,0,50,0.5,1,0,50,0.5,1.5,1,50,0.5,1,0,50
94.7529296875,4.50545236232,120,4.49727133697,0.250454743883,80,0.2,0.05,120,0.2,0.05,89.945430734,0.749545256117,0.5,1,0,50,0.5,1,0,50,0.5,1.5,1,50,0.5,1,0,50
94.75390625,4.5054515649,120,4.49727173641,0.250454677316,80,0.2,0.05,120,0.2,0.05,89.9454387221,0.749545322684,0.5,1,0,50,0.5,1,0,50,0.5,1.5,1,50,0.5,1,0,50
94.7548828125,4.5054507676,120,4.49727213578,0.250454610758,80,0.2,0.05,120,0.2,0.05,89.945446709,0.749545389242,0.5,1,0,50,0.5,1,0,50,0.5,1.5,1,50,0.5,1,0,50
94.755859375,4.50544997042,120,4.4972725351,0.25045454421,80,0.2,0.05,120,0.2,0.05,89.9454546948,0.74954545579,0.5,1,0,50,0.5,1,0,50,0.5,1.5,1,50,0.5,1,0,50
94.7568359375,4.50544917335,120,4.49727293436,0.250454477671,80,0.2,0.05,120,0.2,0.05,89.9454626794,0.749545522329,0.5,1,0,50,0.5,1,0,50,0.5,1.5,1,50,0.5,1,0,50
94.7578125,4.5054483764,120,4.49727333356,0.250454411143,80,0.2,0.05,120,0.2,0.05,89.9454706629,0.749545588857,0.5,1,0,50,0.5,1,0,50,0.5,1.5,1,50,0.5,1,0,50
94.7587890625,4.50544757957,120,4.4972737327,0.250454344624,80,0.2,0.05,120,0.2,0.05,89.9454786451,0.749545655376,0.5,1,0,50,0.5,1,0,50,0.5,1.5,1,50,0.5,1,0,50
94.759765625,4.50544678285,120,4.49727413179,0.250454278115,80,0.2,0.05,120,0.2,0.05,89.9454866262,0.749545721885,0.5,1,0,50,0.5,1,0,50,0.5,1.5,1,50,0.5,1,0,50
94.7607421875,4.50544598625,120,4.49727453082,0.250454211615,80,0.2,0.05,120,0.2,0.05,89.9454946062,0.749545788385,0.5,1,0,50,0.5,1,0,50,0.5,1.5,1,50,0.5,1,0,50
94.76171875,4.50544518976,120,4.49727492978,0.250454145125,80,0.2,0.05,120,0.2,0.05,89.9455025849,0.749545854875,0.5,1,0,50,0.5,1,0,50,0.5,1.5,1,50,0.5,1,0,50
94.7626953125,4.50544439339,120,4.49727532869,0.250454078645,80,0.2,0.05,120,0.2,0.05,89.9455105626,0.749545921355,0.5,1,0,50,0.5,1,0,50,0.5,1.5,1,50,0.5,1,0,50
94.763671875,4.50544359714,120,4.49727572754,0.250454012175,80,0.2,0.05,120,0.2,0.05,89.945518539,0.749545987825,0.5,1,0,50,0.5,1,0,50,0.5,1.5,1,50,0.5,1,0,50
94.7646484375,4.505442801,120,4.49727612634,0.250453945715,80,0.2,0.05,120,0.2,0.05,89.9455265143,0.749546054285,0.5,1,0,50,0.5,1,0,50,0.5,1.5,1,50,0.5,1,0,50
94.765625,4.50544200498,120,4.49727652507,0.250453879264,80,0.2,0.05,120,0.2,0.05,89.9455344884,0.749546120736,0.5,1,0,50,0.5,1,0,50,0.5,1.5,1,50,0.5,1,0,50
94.7666015625,4.50544120908,120,4.49727692375,0.250453812823,80,0.2,0.05,120,0.2,0.05,89.9455424613,0.749546187177,0.5,1,0,50,0.5,1,0,50,0.5,1.5,1,50,0.5,1,0,50
94.767578125,4.50544041329,120,4.49727732236,0.250453746391,80,0.2,0.05,120,0.2,0.05,89.9455504331,0.749546253609,0.5,1,0,50,0.5,1,0,50,0.5,1.5,1,50,0.5,1,0,50
94.7685546875,4.50543961762,120,4.49727772092,0.250453679969,80,0.2,0.05,120,0.2,0.05,89.9455584037,0.749546320031,0.5,1,0,50,0.5,1,0,50,0.5,1.5,1,50,0.5,1,0,50
94.76953125,4.50543882206,120,4.49727811942,0.250453613558,80,0.2,0.05,120,0.2,0.05,89.9455663731,0.749546386442,0.5,1,0,50,0.5,1,0,50,0.5,1.5,1,50,0.5,1,0,50
94.7705078125,4.50543802662,120,4.49727851787,0.250453547155,80,0.2,0.05,120,0.2,0.05,89.9455743414,0.749546452845,0.5,1,0,50,0.5,1,0,50,0.5,1.5,1,50,0.5,1,0,50
94.771484375,4.5054372313,120,4.49727891625,0.250453480763,80,0.2,0.05,120,0.2,0.05,89.9455823085,0.749546519237,0.5,1,0,50,0.5,1,0,50,0.5,1.5,1,50,0.5,1,0,50
94.7724609375,4.50543643609,120,4.49727931458,0.25045341438,80,0.2,0.05,120,0.2,0.05,89.9455902744,0.74954658562,0.5,1,0,50,0.5,1,0,50,0.5,1.5,1,50,0.5,1,0,50
94.7734375,4.505435641,120,4.49727971284,0.250453348007,80,0.2,0.05,120,0.2,0.05,89.9455982392,0.749546651993,0.5,1,0,50,0.5,1,0,50,0.5,1.5,1,50,0.5,1,0,50
94.7744140625,4.50543484603,120,4.49728011105,0.250453281643,80,0.2,0.05,120,0.2,0.05,89.9456062028,0.749546718357,0.5,1,0,50,0.5,1,0,50,0.5,1.5,1,50,0.5,1,0,50
94.775390625,4.50543405117,120,4.49728050921,0.25045321529,80,0.2,0.05,120,0.2,0.05,89.9456141652,0.74954678471,0.5,1,0,50,0.5,1,0,50,0.5,1.5,1,50,0.5,1,0,50
94.7763671875,4.50543325643,120,4.4972809073,0.250453148946,80,0.2,0.05,120,0.2,0.05,89.9456221265,0.749546851054,0.5,1,0,50,0.5,1,0,50,0.5,1.5,1,50,0.5,1,0,50
94.77734375,4.5054324618,120,4.49728130533,0.250453082611,80,0.2,0.05,120,0.2,0.05,89.9456300866,0.749546917389,0.5,1,0,50,0.5,1,0,50,0.5,1.5,1,50,0.5,1,0,50
94.7783203125,4.50543166729,120,4.49728170331,0.250453016287,80,0.2,0.05,120,0.2,0.05,89.9456380456,0.749546983713,0.5,1,0,50,0.5,1,0,50,0.5,1.5,1,50,0.5,1,0,50
94.779296875,4.50543087289,120,4.49728210123,0.250452949972,80,0.2,0.05,120,0.2,0.05,89.9456460034,0.749547050028,0.5,1,0,50,0.5,1,0,50,0.5,1.5,1,50,0.5,1,0,50
94.7802734375,4.50543007862,120,4.49728249909,0.250452883667,80,0.2,0.05,120,0.2,0.05,89.94565396,0.749547116333,0.5,1,0,50,0.5,1,0,50,0.5,1.5,1,50,0.5,1,0,50
94.78125,4.50542928445,120,4.49728289689,0.250452817371,80,0.2,0.05,120,0.2,0.05,89.9456619154,0.749547182629,0.5,1,0,50,0.5,1,0,50,0.5,1.5,1,50,0.5,1,0,50
94.7822265625,4.50542849041,120,4.49728329463,0.250452751086,80,0.2,0.05,120,0.2,0.05,89.9456698697,0.749547248914,0.5,1,0,50,0.5,1,0,50,0.5,1.5,1,50,0.5,1,0,50
94.783203125,4.50542769648,120,4.49728369232,0.250452684809,80,0.2,0.05,120,0.2,0.05,89.9456778229,0.749547315191,0.5,1,0,50,0.5,1,0,50,0.5,1.5,1,50,0.5,1,0,50
94.7841796875,4.50542690266,120,4.49728408995,0.250452618543,80,0.2,0.05,120,0.2,0.05,89.9456857748,0.749547381457,0.5,1,0,50,0.5,1,0,50,0.5,1.5,1,50,0.5,1,0,50
94.78515625,4.50542610896,120,4.49728448752,0.250452552286,80,0.2,0.05,120,0.2,0.05,89.9456937256,0.749547447714,0.5,1,0,50,0.5,1,0,50,0.5,1.5,1,50,0.5,1,0,50
94.7861328125,4.50542531538,120,4.49728488503,0.250452486039,80,0.2,0.05,120,0.2,0.05,89.9457016753,0.749547513961,0.5,1,0,50,0.5,1,0,50,0.5,1.5,1,50,0.5,1,0,50
